JobID|JobIDRaw|ElapsedRaw|Account|AllocCPUS|CPUTimeRAW|NNodes|AllocNodes|NCPUS|Partition|TotalCPU|User|ExitCode|State|Reservation|ReservationId|AllocTRES
112486|112486|0|i20240006x|0|0|1|0|0|normal-x86|00:00:00|mspetko|0:54|CANCELLED by 0|||
242932_5|244159|86422|f202414294cpcaa3x|256|22124032|2|2|256|normal-x86|00:00:00|pborlido|0:0|TIMEOUT|||billing=256,cpu=256,mem=484G,node=2
242932_6|245054|22|f202414294cpcaa3x|256|5632|2|2|256|normal-x86|00:00:00|pborlido|2:0|FAILED|||billing=256,cpu=256,mem=484G,node=2
242932_7|245057|6960|f202414294cpcaa3x|256|1781760|2|2|256|normal-x86|00:00:00|pborlido|0:0|CANCELLED by 30044|||billing=256,cpu=256,mem=484G,node=2
242945|242945|152881|f202411063cpcaa3a|2064|315546384|43|43|2064|normal-arm|00:00:00|psilva|11:0|FAILED|||billing=2064,cpu=2064,mem=1247G,node=43
243542|243542|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243545|243545|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243550|243550|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243552|243552|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243555|243555|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243557|243557|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243566|243566|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243570|243570|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243571|243571|0|f202413348cpcaa3g|0|0|1|0|0|normal-a100-40|00:00:00|gabriel|0:0|CANCELLED by 30054|||
243572_3|243572|259218|f202414294cpcaa3x|512|132719616|4|4|512|large-x86|00:00:00|tiagoc|0:0|TIMEOUT|||billing=512,cpu=512,mem=950G,node=4
243556|243556|260|f202411062cpcaa3a|24576|6389760|512|512|24576|large-arm|00:00:00|zahramo|0:0|CANCELLED by 0|||billing=24576,cpu=24576,mem=2T,node=512
243841|243841|0|f202408982cpcaa3g|0|0|1|0|0|normal-a100-80|00:00:00|ngalamba|0:0|CANCELLED by 30042|||
243861|243861|126866|f202411063cpcaa3a|576|73074816|12|12|576|normal-arm|00:00:00|psilva|77:0|FAILED|||billing=576,cpu=576,mem=348G,node=12
244155_9|244542|46596|f202414294cpcaa3x|256|11928576|2|2|256|normal-x86|00:00:00|pborlido|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
244155_10|245056|21|f202414294cpcaa3x|256|5376|2|2|256|normal-x86|00:00:00|pborlido|2:0|FAILED|||billing=256,cpu=256,mem=484G,node=2
244155_11|245058|6960|f202414294cpcaa3x|256|1781760|2|2|256|normal-x86|00:00:00|pborlido|0:0|CANCELLED by 30044|||billing=256,cpu=256,mem=484G,node=2
244155_[12-39%5]|244155|0|f202414294cpcaa3x|0|0|2|0|0|normal-x86|00:00:00|pborlido|0:0|CANCELLED by 30044|||
244199_[1-7]|244199|0|f202414294cpcaa3x|0|0|2|0|0|large-x86|00:00:00|tiagoc|0:0|CANCELLED by 30041|||
244282|244282|67394|f202414686cpcaa3x|256|17252864|2|2|256|large-x86|00:00:00|amaximiano|0:0|COMPLETED|||billing=256,cpu=256,mem=484G,node=2
