JobID|JobIDRaw|ElapsedRaw|Account|AllocCPUS|CPUTimeRAW|NNodes|AllocNodes|NCPUS|Partition|TotalCPU|User|ExitCode|State|Reservation|ReservationId|AllocTRES
467479|467479|0|i200240008x|0|0|1|0|0|normal-x86|00:00:00|ntreis|0:0|CANCELLED by 30516|||
471299|471299|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471300|471300|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471301|471301|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471302|471302|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471303|471303|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471304|471304|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471305|471305|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471306|471306|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471307|471307|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471308|471308|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471309|471309|171087|f202408918cpcaa3g|128|21899136|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471310|471310|171087|f202408918cpcaa3g|128|21899136|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471311|471311|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471312|471312|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471313|471313|171087|f202408918cpcaa3g|128|21899136|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471314|471314|203968|f202408918cpcaa3g|128|26107904|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|TIMEOUT|||billing=128,cpu=128,mem=70G,node=1
471315|471315|34|f202408918cpcaa3g|128|4352|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471316|471316|9|f202408918cpcaa3g|128|1152|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471317|471317|8|f202408918cpcaa3g|128|1024|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471318|471318|8|f202408918cpcaa3g|128|1024|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471319|471319|9|f202408918cpcaa3g|128|1152|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471320|471320|10|f202408918cpcaa3g|128|1280|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471324|471324|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471325|471325|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471326|471326|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471327|471327|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471328|471328|171087|f202408918cpcaa3g|128|21899136|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471329|471329|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471330|471330|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471331|471331|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471332|471332|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471333|471333|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471334|471334|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471335|471335|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471336|471336|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471337|471337|171085|f202408918cpcaa3g|128|21898880|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471338|471338|171086|f202408918cpcaa3g|128|21899008|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471339|471339|203908|f202408918cpcaa3g|128|26100224|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|TIMEOUT|||billing=128,cpu=128,mem=70G,node=1
471340|471340|171107|f202408918cpcaa3g|128|21901696|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471349|471349|171083|f202408918cpcaa3g|128|21898624|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471350|471350|171083|f202408918cpcaa3g|128|21898624|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471351|471351|171084|f202408918cpcaa3g|128|21898752|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
471352|471352|171083|f202408918cpcaa3g|128|21898624|1|1|128|normal-a100-80|00:00:00|fcarvalho|0:0|COMPLETED|||billing=128,cpu=128,mem=70G,node=1
